id|short_title|location|view_date|text
80029|enemygates|Theater in Santa Monica|2001-04-28|<p>I remember seeing the preview for this film some time back. My impression was that it wouldn't be a particularly great movie, but I was impressed that they had made a movie where the Russian was the good guy. I knew, of course, given the subject matter and setting, that it wouldn't be any different from any other hero flick, but that's Hollywood. In any case, my lao shi wanted to see it, and it was his birthday, so the lot of us saw it.</p><p>The story is a true one, based on a famous sniper of the Red Army, Vassili Zaitsev, whose exploits (embellished by the newspapers to boost morale) lead the Germans to send their best sniper to take him out, since his positive effect on Soviet morale is a zero-sum game sapping the German morale. That pretty much sums it all up right there, with a little love interest and  personal tension throw in.</p><p>The movie is well done, particular from a visual perspective, and the tension of the situation is conveyed to the audience well. Of particular value are the scenes beyond the individuals in question. The battle scene at the beginning, where you see pilots strafing the boats of new soldiers as they cross into Stalingrad and just the extent of the destruction of that city are amazing, and do help to give you a sense of what it is like to be stuck in a war.</p><p>As was expected going in, my main complaints with this film are political. For the most part, the film avoids politics all together. Of course, since the average American doesn't have any idea of the political circumstances in the Soviet Union at any point in history, there are a lot of scenes which probably don't make as much sense to your average viewer. In general, the view one gets is going to be negative, not that it shouldn't be, but there are qualifications to be put upon many of the situations which aren't there (and again, I wouldn't expect them to be there). The down-right worst scene of the movie though, is when the polit guy who has pumped up Vassili in the media makes the claim that \"socialism\" just cannot work because he cannot get over his own petty jealousies. This is the most asinine logic, and really sours what was otherwise a decent film. Coming at the end of the film, it is really meant to be the political jab which the makers of this film wanted to make. It would be amazing, if I hadn't seen it already so many times before, to see such a well crafted film (historical accuracy, etc.) pop up with absurd conclusions. But then, that's what most of the Cold War logic was built upon... silly conclusions drawn from misconstrued \"facts.\"</p><p>Like I said, I enjoyed the film for the most part. I wouldn't sit through it again and wouldn't tell any of my friends that they should see it, but I also wouldn't hold anyone in disdain for having seen it and liking it.</p>
80030|cgs|Video at home|2001-05-06|<p>I have to admit, with some embarassment, that I have never seen this movie before. It is such a classic of Hong Kong cinema, that I don't know how I've managed not to see it, but alas there are gaps in my history. Unfortunately, the store I went to to rent it only had it on video, but the copy was decent.</p><p>This is another <short=\"xianu\">Pu Songling</a> based story, which has been put to the big screen. The story is simple enough. A young tax collector travels to a town which is quite delinquent, but his records are ruined by the rain on his way there. He decides to stay at a nearby, haunted temple in the meantime, not having any money, and use the time to rewrite his records. At the temple he meets two individuals. One is swordsman Yen, a Daoist warrior-priest who has undertaken the task of destroying the local evil. The other is a beautiful young woman who falls in love with our tax collector, despite her duty to simply seduce men so that the evil tree spirit which dominates her can suck out their life force.</p><p>The first thing I have to give kudos to is the definite homage to <short=\"evildead\">Evil Dead</a>. It was first obvious to me during some of the early shots in the forest leading up to the temple, which use the same camerawork, low to the ground but running fast, that mark the beginning of our American classic. Then, of course, the main bad guy is some sort of evil tree spirit, and thus there are a number of aspects to this demon which refer directly back to <short=\"evildead\">Evil Dead</a>. The most obvious is when the tree uses branches and vines to entwine people.</p><p>The movie is quite fun. There are many scenes which are clearly meant to be funny, and even characters which serve no other purpose but comic relief. I'm thinking in particular of the guards in town, who quickly jump on the scene whenever anyone in town shouts, and then quickly proceed to beat on the closest \"suspect.\" The ghouls in the temple (another homage, by the way) also really serve little purpose but comedy, since they are never really \"encountered\" by our hero.</p><p>There isn't much more I can add. Our ghost who is under the power of the androgenous tree spirit is, of course, a knockout. She does an excellent job, and her body movements are excellent. The fighting is never that amazing, but is still quite fun, and I loved it when the swordsman would write onto his hand with his own blood and then begin shooting off fireballs at the undead. If you haven't seen this classic of the Hong Kong fantasy genre, then I cannot imagine what you are waiting for... I guess the same thing that I waited for: laziness.</p>
80031|landnfreedom|Bus somewhere between Oakland and Bakersfield|2001-05-12|<p>I originally saw this film when it was released in the theaters in Chicago. I loved the film then, before I knew that much about the Spanish Civil War, and I have to say that I enjoy it that much more now that I've read enough to know what was going on. The film is well put together and is loaded with political messages. Of course, Ken Loach's films aren't seen by the people who should see them, but by art house crowds, and that is the real tragedy.</p><p>Upon the death of her grandfather, a British woman begins reading through newspaper clippings and letters that the old man had kept in a suitcase. This transitions into a \"flashback\" of sorts, which is the majority of the movie.  The wrapper, of course, puts some perspective on the events and looks at how little we know about a past which isn't so far off or far away from people we might know.</p><p>In 1936, our lead character is an unemployed worker who sees it as his duty as a young Communist to fight the fascists in Spain, who are attacking the republic there. He lands himself in a POUM (Marxist Party of United Workers is a rough translation) militia. You see his political development, the political development of conditions in Spain, and of course the conditions on the front among people genuinely interested in a better society.</p><p>Some of the best parts of the films are the debates. I do have to say, however, that it is because I know what was going on that I can fully appreciate these. After liberating one town from the Fascists, there is a long segment where the peasants and the militia argue over whether to collectize the land, particularly that of the former Fascist landlord. The peasants are somewhat narrower in perspective, but still assessing things from the viewpoint of a broader base than just themselves. The militia brings in all sorts of perspectives, from the American Stalinist who honestly wants to see things move forward but is trapped by his own political development, to the German who has been in the largest communist movement in history and seen it fail because of inaction.</p><p>It is always refreshing to see democracy in action, and not the farce which we know as elections in the \"democratic\" nations today. Most people cannot imagine some of the images we get in this film, where a military officer is elected based upon everyone's confidence in him, and people vote and discuss issues which truly affect their lives. There are rare periods in history where this can be seen, and even rarer moments in cinema where anyone bothers to depict it.</p><p>The drawback of the film, besides some of the limitations that I have already mentioned, is that you don't really see a broader picture of the  conflicts and political landscape which led to the fascists taking power. The Stalinized Communist Party comes across completely negative, without any background, while the POUM comes across as mostly positive. We don't really see much of the anarchists (which played a bigger role than the POUM, for the most part), nor of course of their role in betraying their side. We also miss the fact that they are fighting for a Republic, and not a workers and/or peasant's government. The bourgeoisie is still in there, making decisions, and reigning in the advances of the workers and peasants who have risen up.</p><p>This is a must-see film for everyone. If you don't know anything about the Spanish Civil War, then this can be your inspiration to learn more. If you do know, then you can enjoy a fairly good portrayal of the events. And, if you haven't seen any of Ken Loach's films, get started today, this is only one of his many good films.</p>
80032|breadnroses|Flagship Theater near USC|2001-05-13|<p>I was getting to think this film would never make it here. I know people who saw it in France last year, and I know that janitors involved in the strike got to see it a while back as well. Besides, I'm always starved to a good film which actually addresses political issues and challenges your intellect (Not that most of the films here fit that category). Anyway, it opened here in Los Angeles this past weekend, and I had the time to catch it.</p><p>The events of this film take place in 1999. The main character is a Mexican woman, Maya, who has just crossed the boarder with some coyotes to meet her  sister, Rosa, and get a job in Los Angeles. Dissatisfied with the first job she gets, she is able to get a job cleaning the downtown high-rise where her sister works. Her first night on the job, a union organizer has snuck into the building and Maya helps him elude security.</p><p>There are some very powerful scenes in this movie, and as a drama it is top-notch. The acting is excellent, including a number of people who were actually janitors involved in the struggles of the Justice for Janitors campaign. There is a good spectrum of characters, which bring in the many different perspectives that the workers involved would necessarily have. I was also pleased to see a mix of ethic groups in the job force, with black women and a Russian woman with noticable roles. Because of the nature of the struggle and the way in which it made it to most people's attention, it would be easy to misconceive of the industry as 100% Latin American immigrants, which is just not true.</p><p>The characters in the film come across realistically, and a number of issues which need to be addressed do get touched upon. I was fascinated by some of the detail, like the organizer's apartment where you could see the tell-tale signs of a student who is caught up in the culture of labor without much experience to draw upon. You also see the kind of relationship that such a person can have to such a movement, when he makes a critical mistake that results in somebody getting fired. The film doesn't judge the characters, and so it is an excellent piece for discussion.</p><p>Although not the best film Ken Loach has made, this is definitely a good one. Do yourself a favor and see this film with some friend who have heads on their shoulders, it truly needs to be discussed afterwards, like a good film should be.</p>
80033|shrek|AMC 14 Theaters, Century City|2001-05-18|<p>This film had seemed interesting from the first time I heard about it or saw the preview, but then it took a long time from then to actually come out. I figured that any story where an ogre was the main character couldn't be too bad. Then there's the fantasy aspect, which is certainly enough to make me at least pay attention (though I have to admit I have yet to see  <short=\"dnd\">Dungeons &amp; Dragons</a>, given the horrible reviews it got).</p><p>I enjoyed the film, though it was quite short. It really is designed to appeal to a range of ages, so that there are immature child jokes but also sophisticated cultural references. For me, the mocking of Disney films was enough to please me. One of my favorite scenes is when the princess starts singing to a bird but the result is very un-Disney-like.</p><p>I'm not sure that this film will be memorable down the road, but it is worth the hour and a half to see it. The voice acting was pretty good (I honestly expected Myers' accent to get annoying after a while, but it didn't), and the animation was impressive. I liked the grass bending after people walked through it and other little details along those lines. The plot was also enjoyable, with some unexpected twists. Overall a decent film.</p>
80034|leon|DVD at home|2001-05-19|<p>I've seen this movie a few times already, but when my old roommate came home with a birthday gift of a DVD which I already had, it was the one film I could think of which he might be able to find (most of my wishlist cannot be bought at Best Buy). This is the international version, which contains scenes that were cut from the American release, so I hadn't seen this version before. If you enjoy the film as presented in the theaters, then you will enjoy the DVD even more.</p><p>For me, Leon is just a likable character. He really has the kind of style which appeals to me. I guess there's a part of me which would also like to be a hitman, as well. \"The Professional\" is certainly an apt title, and it hits on why the character is appealing: he takes his life and his job seriously, thinking things through and conducting himself if a proper manner.</p><p>With the exception of one scene, there were no surprises as to why they cut the scenes from the American theater release. Across the board, these scenes depict either Matilda engaged in violent acts or the further exploration of the \"sexual\" relationship between Leon and Matilda.  Unfortunately, the scene which should have been in the theater release was too sandwiched between these other scenes to make the film continuous. The scene I speak of is when Leon explains what happened to him back in Italy to cause him to come to the U.S. and become a hitman. There are references to it earlier in the film, which are left dangling without this scene.</p><p>This movie is just filled with scenes that lift the spirit... or mine, at least. I love the ending, it is so well crafted. There are so many times you just have to sit back and admire Leon's handiwork. There are also ample doses of humor which keep the film very lively. If you have not seen this film, I wholeheartedly recommend it. And, of course, you should try to get your hands on the full version, you won't be disappointed.</p>
80035|pieceofshit|Airplane from Los Angeles to Paris|2001-05-26|<p>Hmm, where to begin. I was on a plane. I knew that I didn't want to sleep for another couple hours. And, I wasn't up for reading. That pretty much sums up why I watched this movie, because no other set of circumstances would have induced me to do so.</p><p>This film can pretty much be summed up by the moralism: \"Family life is the greatest life you can have.. Everything in the movie leads up to this point, and it is painfully obvious from the get go (hey, look at the title). The concept is interesting, because who hasn't wondered \"What if I went back and did things differently?\". The premise here has Nicolas Cage's character transported into the life today that he would be leading if he hadn't dumped his girlfriend to go to London on his stepladder to being the head of some major corporation. This involves a couple kids and a house in the burbs. The whole condition of this change, however, is that he is stuck in it until he realizes that this is the life he absolutely wants, deep down inside. Then, in the end, it all gets taken away and he has to figure out what to do. The wrap-around, which sends him in the end to the old girlfriend's apartment, is utterly pathetic and absolutely unrealistic.</p><p>Don't get me wrong, I have nothing wrong with love and intimate relationships, and even people seeing their lives somehow fulfilled by having children. For me, I just get sick of the idea that this is the ONLY way to live a fulfilling life, which is really the message of the film. I also do not honestly believe that this IS a fulfilling life to live, because people are not defined by who they reproduce, but by what they do themselves. This film really raises to the level of highest merit the idea that you completely bend your life to such a set-up. Not that this guy's life was worth a damn to begin with, his type should be fed to starving animals. But, moralistic pictures like this are best avoided, for fear that they might pique one's frustrations at the problems of this society enough to force you into more drastic measures.</p><p>I suffered through this film so that you don't have to. I would never subject myself to this film again, and my already low respect for Cage just dropped lower (<strong>Face/Off</strong> is a plus). Next time I'm on a long flight, I'll have to keep this film in mind when I make my decision about whether to watch or not. There are some films which just should NOT be seen.</p>
80036|apocalypse|Cinema Rex, Paris|2001-05-28|<p>I already own the original film on both video and DVD. The only thing that disappoints me, therefore, about this film is that I'll probably want to get a copy of it on DVD when it is released. Of course, it hasn't even been released to the theaters in the states yet, so that will give me plenty of time to hock my copies to clear up shelf space.</p><p>Some people might criticize me for watching an American film while visiting France for the first time in my life, but I was suffering from some serious depression at not being able to communicate with anyone, so an English language film hit the spot. In particular, it gave me something to do for about 4 hours that didn't subject me to more suffering. In any case, I'm very glad I saw the film. It is a masterpiece to begin with, and I feel many of the added scenes make it that much better.</p><p>To begin with, <strong>Heart of Darkness</strong> is just an excellent book to base a movie on, and the reinterpretation through the eyes of Viet Nam to depict the horrors that were perpetrated there is a sign of true artistic talent. The true crime of Col. Kurtz is that he truly understands what has to be done to carry out the war the U.S. is fighting. There is no room for niceties, and the people running the army know that. But, there is a front which has to be put up, because war is always something which people fight against, and the blatant honesty of someone like Kurtz really threatens the illusion.</p><p>Along the way, you get to see the insanity which is fighting the war. You see actions of the Air Cav and the madness of the whole. You also see the madness of the individual, which is highlighted just a little bit more and a little bit better with the new scene where Chef hooks up with one of the bunnies.</p><p>The best addition to the film is by far the French plantation scene. Most of the scene is played out at the dinner table, but this scene really helps to inject the film with politics, which are always underlying but are brought out here. Essentially, you have many people sitting around a table discussing the entire situation of Viet Nam, from its history to why the U.S. is involved in the war. No one is putting forth a \"correct\" perspective, but the arena of discussion is opened and forced that much more on the viewer.</p><p>The film also appeals to the emotional in me. I route for the Vietnamese every time I see the scene where the young woman runs to the helicopter and throws in a grenade. The raw politics of the film make me feel good that there are some people (even if they don't understand the politics) that can capture a reality.</p><p>This is one of the greatest films ever made, and certainly one of the best ever made about the U.S. war against the Vietnamese people (<short=\"fullmetaljacket\" title=\"Full Metal Jacket\">Full Metal Jacket</a> is on my to-buy list). If you somehow have not seen this film yet, certainly take advantage of this film being in the theaters again to see it on the big screen, where it is that much more powerful.</p>
80037|legrandnord|La Geode, Museum of Science and Industry, Paris|2001-05-30|<p>This is actually the first real IMAX film I have ever seen, being on a huge concave screen (inside a large silver ball, even). I was with friends who were interested in seeing something, and we got there too late to really see anything in the museum before it closed. Luckily, the film had English headphones available, so I got to enjoy more than the sights and sounds.</p><p>This documentary is about the Inuit and the Saami, two groups of people who live off of the raindeer. The Inuit live in northern Canada, while the Saami live in Finland. Both peoples have adapted technology to their lifestyles, but retain some of their old ways. Along the way, you learn about the habits of raindeer and of the people who are able to survive in an Arctic climate because of them.</p><p>The photography is, of course beautiful, combined with the sounds of raindeer as a huge herd makes its way across the hills. There is also some footage from a black-and-white film used, since one of the Inuit they interview is the grandson of Nanook (<strong>Nanook of the North</strong> (1922), haven't seen).</p><p>What more is there to say. This film is enjoyable and educational, and quite likely will surprise you a bit if you have any pre-conceived notions of the subject matter. If you have an IMAX nearby and they show it in the U.S. (I assume they will, it won the Grand Prize at an IMAX film festival), it is worth catching.</p>
80038|misscongeniality|Airplane from Paris to Los Angeles|2001-06-10|<p>Not exactly a movie I would go see on my own account, but not utterly horrible either. You cannot expect much from a movie which has an FBI agent as the protagonist and is centered around a beauty pagent.</p><p>For the most part, Sandra Bullock's character is likeable. I loved the opening scene of the movie, where we see her character as a girl on the playground. It sets the tone for the picture quite well.</p><p>I really don't have much more to say. The ending is sappy, of course, with the obvious love interest fleshing out. I also wasn't sure how to take the little speech at the end about the kinds of people who would join such a pagent in the first place, but my respect for them (or the lack thereof) has not changed as a result. I wouldn't recommend this film to anyone, but it was funny enough to keep me awake on the plane when I was fighting sleep.</p>
80039|cthd|Airplane from Paris to Los Angeles|2001-06-10|<p>OK, so I've already seen this <short=\"cthd\" title=\"Crouching Tiger Hidden Dragon\">movie</a> 3 times since December. For me, this is actually an unusual situation, but being on the airplane yet again provides an exception to the rules.</p><p>I don't really have much to add except to comment on the dubbing. I'm not one for dubbing of foreign language films, particularly when I might actually feel like I'm getting something out of it. I can actually distinguish between some spoken languages, and this is due to this \"quirk\" of mine. Obviously the dubbing is distracting at first, but you come to ignore it after the movie has been rolling for a while. Li Mu Bai had a nice British accent, and others were generally unimpressive. I didn't hear any original voices, although some of these actors speak better English than they do Mandarin. The interesting thing is the translation of background noise, which you generally don't get in subtitled films but we did get here in the dubbed. That's all.</p>
80040|chocolat|Airplane from Paris to Los Angeles|2001-06-10|<p>Another film that I would not have watched had I not been on a plane and not intending to sleep. I had heard people say good things about the film, and know one person who swore it was the best movie they ever saw.</p><p>I should preface this review with the fact that I was just leaving France after being there for two weeks. In addition, I had learned a bit about France of the 1950s and 1960s which I hadn't know before, so the ideas were fresh in my head. Therefore, a film set in France, 1959, immediately made me think of the slaughter taking place in Algeria in order to prevent the Algerian people from being free from French domination. That this film  really takes place \"anywhere\" at \"anytime\" and has no relationship to the  world around it soured me a bit to the events of the film.</p><p>This is a feel-good romantic drama, plain and simple. And, with a little suspension of disbelief, I suppose that it isn't a bad one at that. I personally don't like all the spiritualistic mumbo-jumbo, so with that being a pivotal part of the film, we have another mark against it. I'm also not that big on chocolate, so I couldn't get into the whole idea of chocolate solving everyone's problems. To me, chocolate causes more problems than it's worth.</p><p>That's all I really want to say. The movie didn't make me wretch violently, but it also didn't pull me in and make me really sympathetic to any of the characters (despite some of them having the potential because of their backgrounds). I cannot recommend the film, but I've seen worse films.</p>
80041|blinddead2|DVD at home|2001-06-16|<p>This movie was package together with the first film, <strong>La Noche del Terror Ciego</strong>, in a DVD set which my roommate received for his birthday. When I came home, while doing laundry, he was watching the first film, which I only caught the tail end of. He was inspired to watch the second movie, and me not having anything to do decided to sit through it as well.</p><p>This movie was certainly much worse than the first. In addition, many of the features of the first movie were changed significantly. To boot, the movie was dubbed in English (the first was subtitled), which I tend to find distracting. </p><p>The concept behind the series is that in the distant past a local branch of the Knights Templar was involved in heinous and secret rituals. Upon discovery of these crimes, the local peasantry put the Templars to death in such a manner that their eyes can no longer be used, thus preventing them from returning from Hell to exact their revenge. We then jump to modern times where because of some event, the Templars arise from the dead to exact their revenge upon the villagers whose ancestors messed them up in the first place. Of course, since the undead knights have no eyes, they can only find their victims when they make some sort of noise.</p><p>The Templars were a secretive order, from about the 12th century, coming out of the Crusades. They were only around for about 150 years, before they were suppressed in the early 1300s by the Pope and others. Because they were secretive, there were always rumors about their ceremonies, particularly for initiation. Also, because of the way the society was organized, you didn't necessarily have church officials overseeing things, which meant they didn't have an inside man when things heated up. And, because of the nature of their trials, they were tortured into confessions. The order was strongest in France, but did exist in Portugal and Spain, where the movies take place.</p><p>Where the first movie had a virgin sacrifice and knights drinking the blood directly from the body of the virgin (breast shots here, of course, this is a horror film after all), and then, once the knights come back to life, they attack their victims by eating them alive and sucking their blood; in this sequel, this all disappears. You still have the same scene (redone, not the same footage) of them sacrificing the virgin, but they drain the blood into a bowl and drink it from that. Thus, when they come back, they just hack people up with their swords or claw people to death, which I have to say is a much less effective means of disturbing your audience. There's also a time problem: in the first film the dating is much closer to the Templars, where here they are now saying it is the 500 anniversary of the peasants burning these guys at the stake, which would date it around 1473. And the way that the Templars lose their eyes is much less interesting as well. In the first, they have them pecked out by crows. Now they are simply burned out, and in quite a ridiculous manner.</p><p>Oh yeah, and maybe it was just me, but there seemed to be a lot of people from the first movie reappearing in this film (despite having died). Not really a problem, since the movie is completely different and not a sequel in the sense of a continuation, but odd none-the-less.</p><p>The highlight of this movie is the rich fellow who uses a child to distract the undead while he makes a break for the jeep. The child's father had already been suckered by this rich man into making an attempt to get the jeep, so he walks out and tells her to find her father. It comes somewhat out of the blue, and is easily the funniest scene in the film. Of course, why the child doesn't die at this point is beyond me, and disappointed for horror fans.</p><p>I couldn't possibly recommend this film to anyone. It isn't so bad that it becomes funny, so it just ends up being a mediocre horror film. The bulk of the film has several people holed up in a church, each making various attempts to go it alone in order to escape the blind dead who have them surrounded. When the film ends, you are not surprised at the outcome at all, in fact, quite disappointed. If you are into the novelty of seeing a Spanish horror film, see the first movie, which at least has some innovative ideas and not so expected outcomes.</p>
80042|escapeny|Video at home|2001-06-17|<p>This is one of those movies I never managed to hear about as a kid, and then never managed to see out of nostalgia as an adult. I guess I heard of the movie somewhere down the line, but it wasn't until the sequel came out a while back that I even let it onto my radar. Given the actors and director involved, I have to say it is a shame it took me this long.</p><p>The film isn't really all that amazing. The premise is cool and a nice social commentary on how the U.S. deals with crime... or doesn't, as the case may be. Beyond that, there are a lot of aspects to the film which are offensive. It is an enjoyable film to watch, but is essentially fluff that I  wouldn't recommend to anyone as \"must see.\"</p><p>The idea: America has become so overrun with crime that it turns the island of Manhattan into a prison from which no one ever returns. You gather from later in the film that the state doesn't do anything besides keep people from getting out, meaning no food, electricity or anything is provided.  Anyway, a \"left-wing\" radical hijacks Air Force One and crashes it into Manhattan. Now, enter Snake (Kurt Russell), who is about to be sent into the island for his own crimes, but can be pardoned on the condition that he brings the President out along with some important cargo he was carrying. Circumstances work to force Snake into the mission while giving him a deadline.</p><p>The beginning of the film is actually quite humorous, with the crazed radical at the helm of the plane. When I first heard what she was saying over the radio back at the prison base, I thought I had heard wrong. The sad thing is, there are actually some people who sound like that, and since this movie was released in 1981, I guess the various \"Red Armies\" would have been fresh in the minds of some people, with their antics.</p><p>What offended me about the film. Primarily, all the prisoners are either crazy or complete degenerates, which is a horrible misrepresentation of the prison population. The leader of the prisoners, Duke, is black, which couldn't be more stereotypical. And of course, everyone is dressed like some punk, to highlight that only degenerates who \"deserve\" to die in prison are here. On the positive side, there is a sense (in the background, never seen), that the prisoners have organized themselves enough to provide food, power and a few other things (though, then again, it is a smart white guy with glasses who is clearly the only person capable of providing this). </p><p>Like I said, not a horrible film. Pretty cheesy to be honest. Nothing I will ever see again, but I guess it is cultural capital that I can stick under my belt.</p>
80043|fightclub|DVD at home|2001-06-18|<p>When this movie first came out, it didn't appeal to me too strongly, and the opinions I got from my friends didn't strike me as that wonderful. When the movie first came out for rental, I again asked around and didn't get any great inspiration to see the film yet again. Luckily, when I headed to the video store this time, I asked my roommates what movie they'd like to see and, lo and behold, here we are.</p><p>I was pleasantly surprised by this film, and I enjoyed it very much. I'm not making any plans to buy it (I didn't even copy it), but I may be looking for the soundtrack at some point. In the end, the film falls through politically precisely because of its motivation, but there is a lot of good material in there. It also appeals to that part of me which I haven't really been able to express in years (partly for fear of landing in jail).</p><p>Edward Norton is hopelessly middle-class and is clearly not happy with it. There really isn't much to explore there, the world today really leaves no hope for anyone who cannot see outside of their own little shell, and our lead character is no exception. There is actually one scene that clearly refers to the other recent hit from this genre, <strong>American Beauty</strong>, but is more realistic here at least on the level of how the boss reacts. So he begins attending support groups for various diseases and such, none of which he has. First he meets Marla, then shortly thereafter meets Tyler. It is with Tyler that the fight club gets started.</p><p>There are a number of positive aspects to this film, some political and some personal. First off, just the idea of organizing in a cell structure was nice. And organizing for some goal, which in general is something you don't see in popular films, because they always like to push the bullshit idea that someone else will take care of your problems, whether politician or priest. I also liked the fact that when they do plant the bombs, they have cleared the buildings, so that no one will get hurt. A central theme is, of course, the alienation that people feel, even if it is middle-class alienation to begin with.</p><p>One of the interesting things about the fight clubs are that they are a  response to the lack of real, human, physical contact, which is a part of our alienation in this society. When they do come together to fight, it is in a very civil manner, not the brutal kill-or-be-killed attitude that really comes out in society when you think of fighting. It is a compact between friends that yes, we need to feel and share pain, but we are not here to destroy one another. Instead, the fight club builds people up. The movie openly states it at a couple points when people involve say that they have found a better support club.</p><p>The other thing that I liked about the film was the sense of synthesis at the end. There are two separate ideas competing throughout the film, and the end is not a destruction of one or both of those ideas, but a synthesis of a new person, who has rid himself of the baggage he had while pulling in the needed traits of the other. The movie, of course, ends at this point, but the future holds a humane character capable of action. (Sorry if this paragraph is a little vague, but I don't want to give away too much.)</p><p>The negative side to this film is really pulled from the original author, though I don't feel that the point comes out so strongly in the film. This is the whole idea of what it means to be a \"man.\" The complaint is that the distinction between men and women is disappearing, and that society is become more \"feminine\" as a result. I disagree with the direction of this, though I understand the argument underneath it. I think it is a good thing to move towards gender equality on the level of politics, economy and society. Especially in the area the author is likely complaining of, that is jobs, changes here will mean that jobs are safer. Of course, this isn't quite the case, and although capitalism blurs the gender lines out of economic necessity, it most certainly relies on creating a divide between men and women. This is not addressed in the film and is due to the limited perspective it has to offer.</p><p>If my lengthy review isn't enough to indicate that this is a good film, let me say it straight up... this is a good film. It really has the opportunity to make you think about different issues, however intentional or not. On top of that, the story and character development are very interesting, and action is thrown into boot. If you have somehow waited longer than me to see this film, stop waiting.</p>
80044|sixstring|DVD at home|2001-06-20|<p>I had never heard of this film until my current roommate started using a quote from it in his sig. It is one of those obscure, independent films, really on the level of a consciously B-movie. I used to be into that stuff when I was younger, watching Troma films for the fun of it, but haven't caught any of them recently.</p><p>The first thing that surprised me about the film was the level of fighting. There were techniques clearly pulled from Chinese martial arts, including taiji, and Chinese wire-fu, as well as some Japanese swordfighting. I did a little research, and it turns out that Jeffrey Falcon was in Hong Kong for at least 10 years in various films (often as the bad guy). Of course, the swordfighting was a little too staged, and it was often way too obvious that the blow did not land. There is, of course, no blood... whether this is because of budget or something else, I do not know.</p><p>The acting here is clearly quite bad. The main character delivers his lines in a whispery monotone the whole time, that reflect no emotion or even life at all. He isn't really alone in this either. It is clearly on purpose, but it just didn't come over well. I'm not sure that it could be pulled off by someone better.</p><p>As for the plot, that didn't impress me either. After a nuclear war in 1957, Lost Vegas is the only place left in the \"free\" world, and after 40 years, the king (Elvis) has died. Someone needs to take his place, and the top two contenders are our hero and Death. At the start of the film, Buddy (our hero) saves the life of a little boy, who then follows him through the rest of the film.</p><p>There are funny parts of the film, and part which are interesting, but I have to be honest there were also parts which literally put me to sleep. It just didn't involve me, and I wasn't watching this film late at night but in the middle of the day. I wouldn't recommend anyone seeing this film, the few good moments aren't worth it.</p>
80045|dancer|DVD at home|2001-06-23|<p>This got a lot of good reviews, and won two awards at Cannes, but I never could drag myself to see it at the theater. I guess that the concept behind the movie scared me a little, so I was reluctant to pay out the money. I usually am not reluctant to shell out $3 for a DVD rental, so here we are.</p><p>I'll go over the negative first, since a lot of it was at the start of the movie. The opening sequence was confusing as hell, and I still don't know what it was we were supposed to be looking at. That's not the best way  to start a movie. Then, the next thing that really stood out for me was the camera angles and filming. This film was certainly intended to be artistic, because there is no good reason to subject your audience to those kinds of shots. They were very jarring to the sense, and I didn't have a sense that the subject matter at that point was supposed to be, so it didn't fit together. I might be a little forgiving if it had seemed to add to the mood, but for me it just made me nauseous.</p><p>I had thought that the \"musical\" aspect of the film would be annoying, since I have never been a big fan of musicals (<strong>Oliver</strong> is the only exception I can think of off the top of my head). It actually went well, and the concept was interesting. In particular, because Bjork's character is going blind, it makes that much more sense that she would pick up on the rhythms around her. It also helped to make the story that much more tragic. I do considered Bjork to be a good singer, though I've never bought any of her albums.</p><p>The story is quite emotional, and I found myself moved to tears at least twice. A fellow viewer was upset at the film, not because of the tragedy, but because she couldn't understand why Bjork's character never spoke out. That is a quite asinine take on the movie, and shows a lack of understanding for anyone. It's pretty much on par with not understanding why someone would stay in an abusive relationship. The character is not supposed to have a strong grasp on things, but she has committed herself to one thing (long before the movie ever starts), and that is to see her son get surgery so that he does not suffer from the same genetic disease she has. The final scene of the movie is also quite powerful.</p><p>This isn't a great movie, it doesn't tackle political or social questions head on or anything noble like that. This really is an art film, but one which does have some redeeming value. This isn't a movie I would recommend to the weak at heart, but it is worth the time. It does bring up some social questions, even if only loosely.</p>
80046|leon|DVD at home|2001-06-23|<p>Well, I've already reviewed <short=\"leon\">this</a>. The perils of moving in with a new roommate is that you haven't seen all the same movies, and so you are doomed to watching each other's movie collections for a while. Not having anything special to do, I had no problem with watching this wonderful movie again.</p>
80047|wickedcityanime|DVD at home|2001-06-24|<p>My roommate owns this movie on DVD, and I had nothing to do with my Sunday afternoon. I thought my roommate had pretty good taste in movies... or at least one which I understand and can adapt around to make judgement calls, but this movie proved me wrong. I can understand why he has it, but it just ended up being like every other lousy anime that keeps me from truly enjoying the genre.</p><p>The premise of the movie is that there are a demon world and the human world which live in balance, in part due to a treaty which is up to be resigned in the next few days. The Black Guards (clearly unaware of the historical connotation here), are the human-demon police force that maintain peace. Our main character is a romantic playboy (they really have to come out and say this several times, so you understand it) and a female demon who is supposed to be the most attractive creature on the planted.</p><p>In any case, the movie amounts to a lot of sexual jokes, some very graphic gore, and a lot of squeezed tits as demons have their way with either each other or humans. This isn't an X-rated level porn, but it sure aspires to be. If you aren't into being titilated by animated rape, then you are probably not going to enjoy this film.</p><p>I certainly wouldn't recommend this film to anyone, even if I knew they were just a pervert. There could be an interesting story culled from these plot elements, but you won't find it here. It ends up with a love story twist at the end which is just downright embarassing to attribute to an adult author.</p>
